Tag MAC,Frequency,Polynomial,Inverse,Required Power @15mV (dBm),Required Power @40mV (dBm)
58_E6_C5_01_08_CC,845,"[0.5690045350993382, 0.5050318658970839, -38.62410814410198]","[-0.002861586844099118, 0.04656632798515873, 7.394775703254559]",-33.083641317411136,-29.01818856169934
58_E6_C5_01_08_CC,855,"[0.5857715235645341, 0.21114592835843649, -38.32195055425402]","[-0.0029628034995601554, 0.04236769141743379, 7.474225417554284]",-33.45438028811076,-29.571978412764743
58_E6_C5_01_08_CC,865,"[0.577788142740708, 0.11668674652718992, -38.216148559515474]","[-0.003025161007353696, 0.04165315386435626, 7.585109408069996]",-33.66292490953483,-29.92326145520061
58_E6_C5_01_08_CC,875,"[0.5440172778124431, 0.2561604888211992, -38.37473190336751]","[-0.0030440906966253587, 0.04476952698325857, 7.720720484217284]",-33.691466207563934,-30.02689122055734
58_E6_C5_01_08_CC,885,"[0.4874312792798457, 0.6247759634812171, -38.789927577978496]","[-0.0029948479561426556, 0.05265844036990679, 7.876534223153324]",-33.52340812309838,-29.852321584702874
58_E6_C5_01_08_CC,895,"[0.42060582712167655, 1.1422513628441582, -39.40635149648302]","[-0.002828211385668123, 0.06569253449665458, 8.034855352171206]",-33.22854953417297,-29.469190635853472
58_E6_C5_01_08_CC,905,"[0.35841641906743577, 1.680056729750969, -40.03423832112859]","[-0.0025747440299670817, 0.08110154982580192, 8.159554149820615]",-32.85610068286141,-28.959441285988213
58_E6_C5_01_08_CC,915,"[0.30768664530521583, 2.1598356850556333, -40.54257258744206]","[-0.002295089121113207, 0.09583411376916999, 8.230121797046785]",-32.437198069440015,-28.38825104139333
58_E6_C5_01_08_CC,925,"[0.2755662208676354, 2.4942146064664077, -40.79527052376474]","[-0.0020880225151502394, 0.10584869959370381, 8.231829264010056]",-32.01993738586122,-27.844554772168884
58_E6_C5_01_08_CC,935,"[0.2515629051630111, 2.77641086277521, -41.04665941324253]","[-0.0018895867568573472, 0.1139373145553991, 8.206928209282971]",-31.683153823931082,-27.381588768319126
58_E6_C5_01_08_CC,945,"[0.24046346294722176, 2.9399322404381345, -41.08984043952603]","[-0.001785759748139623, 0.117624817836279, 8.144868076753179]",-31.364908908417213,-26.972598485059358
58_E6_C5_01_08_CC,955,"[0.2326718827868196, 3.0758618152039037, -41.11732913203378]","[-0.0016972508018774062, 0.12030797135816566, 8.07723008976347]",-31.081433321404077,-26.60468587293812
58_E6_C5_01_08_CC,965,"[0.22976485324207932, 3.162020862417035, -41.0501351556436]","[-0.0016496412735268, 0.12134920001137343, 8.000561744261429]",-30.802235125386154,-26.259219926076884
58_E6_C5_01_08_CC,975,"[0.23198891896771223, 3.1887919297273046, -40.86215139354731]","[-0.001651388505699025, 0.12072207674304997, 7.920330650619196]",-30.525443703252158,-25.942216211893275
58_E6_C5_01_08_CC,985,"[0.2362170143448653, 3.1929679855259163, -40.65610512584352]","[-0.0016689484035924144, 0.11950676184880463, 7.843644307198781]",-30.277081577601287,-25.663229767759624
58_E6_C5_01_08_CC,995,"[0.2420849803875511, 3.1640961928115563, -40.3406075670507]","[-0.001718861752161565, 0.11767570845758563, 7.770337046776355]",-29.996737343289517,-25.374386478012518
98_A3_16_8F_EA_5C,705,"[0.20725718135628063, 3.6988994038052243, -35.75331090614677]","[-0.0016968799489585201, 0.12819589466965628, 6.800480122236712]",-24.21657765352846,-19.288196065235855
98_A3_16_8F_EA_5C,715,"[0.22351946533926614, 3.6128600721998896, -36.27362717220843]","[-0.0017662597513623459, 0.1226199715025281, 6.836441424091256]",-24.850632705576565,-19.90460663159146
98_A3_16_8F_EA_5C,725,"[0.23875677529156436, 3.5384685634140443, -36.82017906487578]","[-0.0018064958986384778, 0.11787537628083412, 6.873842370120089]",-25.486897179143746,-20.518233084300412
